,RNFS;ancramir;VDIRPA372;90.128.1.120;GenerarLog;2024216;8:29:49
135,"(16/02/2024 9:49:51 a. m.) ;CargarArchivos;Script Ejecutado FechaConFormato.vbs output: ""16022024"""
136,(16/02/2024 9:49:51 a. m.) ;CargarArchivos;Carpeta Eliminada (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
137,(16/02/2024 9:49:52 a. m.) ;CargarArchivos;Carpeta creada (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
138,(16/02/2024 9:49:55 a. m.) ;CargarArchivos; Respuesta Gdrive: 14NwgA-FQBbahOKqXhWlw7CFGg9OunKh8
139,"(16/02/2024 9:50:04 a. m.) ;CargarArchivos;Se ejecutara script: FechaConFormato.vbs Parametros: ""hoy"" ""ddmmyyyy"""
140,"(16/02/2024 9:50:04 a. m.) ;CargarArchivos;Script Ejecutado FechaConFormato.vbs output: ""16022024"""
141,(16/02/2024 9:50:05 a. m.) ;CargarArchivos;Carpeta Eliminada (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
142,(16/02/2024 9:50:06 a. m.) ;CargarArchivos;Carpeta creada (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
143,(16/02/2024 9:50:07 a. m.) ;CargarArchivos; Respuesta Gdrive: 14NwgA-FQBbahOKqXhWlw7CFGg9OunKh8
144,"(16/02/2024 9:50:09 a. m.) ;CargarArchivos;Se ejecutara script: FechaConFormato.vbs Parametros: ""hoy"" ""ddmmyyyy"""
145,"(16/02/2024 9:50:09 a. m.) ;CargarArchivos;Script Ejecutado FechaConFormato.vbs output: ""16022024"""
146,(16/02/2024 9:50:09 a. m.) ;CargarArchivos;Carpeta Eliminada (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
147,(16/02/2024 9:50:10 a. m.) ;CargarArchivos;Carpeta creada (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
148,(16/02/2024 9:50:12 a. m.) ;CargarArchivos; Respuesta Gdrive: 14NwgA-FQBbahOKqXhWlw7CFGg9OunKh8
149,(16/02/2024 9:50:16 a. m.) ;MaestraNotificaciones1;Correo enviado
150,RNFS;ancramir;VDIRPA372;90.128.1.120;GenerarLog;2024216;9:56:25
151,(16/02/2024 9:56:27 a. m.) ;Configuracion;Gsuite;  Descarga exitosa archivo configuracion.json ID: 1oto3xGnesJQB3ZR61J05u1nlfOpTiJcs
152,(16/02/2024 9:56:28 a. m.) ;Configuracion;Gsuite;  Descarga exitosa archivo Parametros.xlsx ID: 1qsx1GnRzLNn2Xvvfvws5mKyFlivQ48q1VeyI9lqE9ZU
153,(16/02/2024 9:56:33 a. m.) ;Configuracion;CMD; (Taskkill) ejecutado
154,(16/02/2024 9:56:33 a. m.) ;Configuracion;No aplica;Archivos eliminados de la carpeta 'Archivos'
155,(16/02/2024 9:56:33 a. m.) ;Configuracion;Cargue configuración exitoso
156,(16/02/2024 9:56:33 a. m.) ;MaestraNotificaciones1;Inicio Tarea
157,"(16/02/2024 9:56:34 a. m.) ;CargarArchivos;Se ejecutara script: FechaConFormato.vbs Parametros: ""hoy"" ""ddmmyyyy"""
158,"(16/02/2024 9:56:34 a. m.) ;CargarArchivos;Script Ejecutado FechaConFormato.vbs output: ""16022024"""
159,(16/02/2024 9:56:34 a. m.) ;CargarArchivos;Carpeta Eliminada (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
160,(16/02/2024 9:56:35 a. m.) ;CargarArchivos;Carpeta creada (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
161,(16/02/2024 9:56:36 a. m.) ;CargarArchivos; Respuesta Gdrive:
162,(16/02/2024 9:56:36 a. m.) ;CargarArchivos;Ocurrio un error al tratar de subir el archivo a Drive
163,"(16/02/2024 9:56:41 a. m.) ;CargarArchivos;Se ejecutara script: FechaConFormato.vbs Parametros: ""hoy"" ""ddmmyyyy"""
164,"(16/02/2024 9:56:41 a. m.) ;CargarArchivos;Script Ejecutado FechaConFormato.vbs output: ""16022024"""
165,(16/02/2024 9:56:41 a. m.) ;CargarArchivos;Carpeta Eliminada (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
166,(16/02/2024 9:56:42 a. m.) ;CargarArchivos;Carpeta creada (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
167,(16/02/2024 9:56:43 a. m.) ;CargarArchivos; Respuesta Gdrive:
168,(16/02/2024 9:56:43 a. m.) ;CargarArchivos;Ocurrio un error al tratar de subir el archivo a Drive
169,"(16/02/2024 9:56:44 a. m.) ;CargarArchivos;Se ejecutara script: FechaConFormato.vbs Parametros: ""hoy"" ""ddmmyyyy"""
170,"(16/02/2024 9:56:44 a. m.) ;CargarArchivos;Script Ejecutado FechaConFormato.vbs output: ""16022024"""
171,(16/02/2024 9:56:44 a. m.) ;CargarArchivos;Carpeta Eliminada (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
172,(16/02/2024 9:56:45 a. m.) ;CargarArchivos;Carpeta creada (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
173,(16/02/2024 9:56:45 a. m.) ;CargarArchivos; Respuesta Gdrive:
174,(16/02/2024 9:56:45 a. m.) ;CargarArchivos;Ocurrio un error al tratar de subir el archivo a Drive
175,(16/02/2024 9:56:50 a. m.) ;MaestraNotificaciones1;Correo enviado
176,RNFS;ancramir;VDIRPA372;90.128.1.120;GenerarLog;2024216;9:57:47
177,(16/02/2024 9:57:48 a. m.) ;Configuracion;Gsuite;  Descarga exitosa archivo configuracion.json ID: 1oto3xGnesJQB3ZR61J05u1nlfOpTiJcs
178,(16/02/2024 9:57:49 a. m.) ;Configuracion;Gsuite;  Descarga exitosa archivo Parametros.xlsx ID: 1qsx1GnRzLNn2Xvvfvws5mKyFlivQ48q1VeyI9lqE9ZU
179,(16/02/2024 9:57:54 a. m.) ;Configuracion;CMD; (Taskkill) ejecutado
180,(16/02/2024 9:57:55 a. m.) ;Configuracion;No aplica;Archivos eliminados de la carpeta 'Archivos'
181,(16/02/2024 9:57:55 a. m.) ;Configuracion;Cargue configuración exitoso
182,(16/02/2024 9:57:55 a. m.) ;MaestraNotificaciones1;Inicio Tarea
183,"(16/02/2024 9:57:55 a. m.) ;CargarArchivos;Se ejecutara script: FechaConFormato.vbs Parametros: ""hoy"" ""ddmmyyyy"""
184,"(16/02/2024 9:57:56 a. m.) ;CargarArchivos;Script Ejecutado FechaConFormato.vbs output: ""16022024"""
185,(16/02/2024 9:57:56 a. m.) ;CargarArchivos;Carpeta Eliminada (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
